food,cal,calFromFat,totFat,totFatDV,totCarb,totCarbDV,satFat,satFatDV,dietaryFiber,dietaryFiberDV,transFat,transFatDV,sugars,sugarsDV,cholesterol,cholesterolDV,protein,proteinDV,sodium,sodiumDV,restrictions,price
Chicken Potstickers ,299,78,8.6,23,38.6,,0.5,2,1,3,0,,3.8,3,28,,16.9,,1776.3,77,"Contains Soy, Contains Wheat, Contains Gluten, Contains Sesame, Contains Soy, Contains Wheat, Contains Gluten, ",$9.00
Edamame Hummus Plate ,369,258,28.6,75,11.6,,3.1,15,4.9,16,0,,4,3,0.6,,16.8,,731.9,32,"Vegetarian, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Contains Sesame, Sustainability, Vegetarian, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Sustainability, ",$7.00
Pork Sticky Ribs ,953,453,50.2,132,71.4,,18.4,92,0.6,2,0,,38.2,29,199,,51.4,,400.6,17,"Contains Soy, Contains Sesame, Contains Soy, Contains Gluten, ",$10.00
Short Rib Bowl ,518,294,32.6,86,34,,14,70,2.3,8,0,,5.9,5,60.8,,18.2,,1570.8,68,"Contains Soy, Contains Wheat, Contains Gluten, Contains Soy, Contains Wheat, ",$10.00
Steamed Edamame ,227,61,6.8,18,20.4,,0,0,9.1,30,0,,2.3,2,0,,18.1,,249.5,11,"Vegan, Contains Soy, Contains Sesame, Sustainability, Vegan, Contains Soy, Contains Gluten, Sustainability, ",$4.00
Chicken Bento Box ,624,201,22.3,59,61.8,,4.1,20,2.8,9,0,,7.5,6,118.5,,45.8,,2315.9,101,"Contains Soy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Eggs, Contains Gluten, Contains Sesame, Contains Soy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Eggs, Contains Gluten, ",$13.00
Chicken Curry Udon Soup ,715,205,22.8,60,75.7,,3.2,16,3.2,11,0,,9.6,7,105.5,,43.2,,2174.3,95,"Contains Soy, Contains Wheat, Contains Gluten, Contains Soy, Contains Wheat, ",$13.00
Chicken Donburi Bowl ,744,277,30.7,81,69.4,,5.6,28,6.1,20,0,,26.3,20,299.6,,49.7,,2605.7,113,"Contains Soy, Contains Eggs, Contains Sesame, Contains Soy, Contains Eggs, Contains Gluten, ",$13.00
Chicken Udon Stir Fry ,683,178,19.7,52,86.6,,2.3,12,2.8,9,0.1,,8.7,7,76.9,,34,,1972.5,86,"Contains Soy, Contains Wheat, Contains Gluten, Contains Sesame, Contains Soy, Contains Wheat, Contains Gluten, ",$12.00
Sauteed Salmon ,936,707,78.3,206,33.7,,9.3,47,5.7,19,0,,4,3,62.4,,29.5,,638.8,28,"Contains Soy, Contains Fish, Contains Sesame, Sustainability, Contains Soy, Contains Fish, Contains Gluten, Sustainability, ",$16.00
Short Rib Donburi Bowl ,859,449,49.8,131,71.9,,16.3,81,6.1,20,0,,28,22,254.9,,31.9,,2995.1,130,"Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Contains Sesame, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, ",$14.00
Shortrib Bento Box ,738,373,41.4,109,64.2,,14.7,74,2.8,9,0,,9.2,7,73.8,,27.9,,2705.3,118,"Contains Soy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Eggs, Contains Gluten, Contains Sesame, Contains Soy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Eggs, Contains Gluten, ",$15.00
Spicy Curry Seared Tofu ,620,397,44,116,42.7,,13.4,67,5.5,18,0,,6.9,5,0,,18.9,,1227.3,53,"Vegan, Contains Soy, Contains Sesame, Sustainability, Vegan, Contains Soy, Contains Gluten, Sustainability, ",$9.00
Tofu Bento Box ,519,160,17.7,47,63.1,,2.5,13,4.5,15,0,,9.1,7,16.9,,28.7,,2460.9,107,"Contains Soy, Contains Wheat, Contains Fish, Contains Eggs, Contains Gluten, Contains Sesame, Sustainability, Contains Soy, Contains Wheat, Contains Fish, Contains Eggs, Contains Gluten, Sustainability, ",$12.00
Tofu Curry Udon Soup ,599,149,16.5,43,82.5,,1.3,6,4.9,16,0,,14.1,11,0.1,,23.4,,2327.4,101,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegan, Contains Soy, Contains Wheat, Sustainability, ",$12.00
Tofu Donburi Bowl ,628,221,24.5,64,76.2,,3.7,18,7.8,26,0,,30.8,24,194.1,,30,,2758.8,120,"Vegetarian, Contains Soy, Contains Eggs, Contains Sesame, Sustainability, Vegetarian, Contains Soy, Contains Eggs, Contains Gluten, Sustainability, ",$10.00
Tofu Udon Stir Fry ,744,201,22.3,59,95.7,,2.5,12,5.2,17,0.1,,14.7,11,0,,35.3,,2343.2,102,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Contains Sesame, Sustainability, Vegan, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, ",$12.00
Vegetable Curry Noodle Soup ,477,100,11.1,29,75.7,,0.2,1,3.2,11,0,,9.6,7,0.1,,12.2,,2012.2,87,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Vegan, Contains Soy, Contains Wheat, ",$10.00
California Roll ,360,49,5.4,14,67.4,,0.6,3,2.6,9,0,,11.4,9,9.8,,11.7,,787.3,34,"Contains Soy, Contains Fish, Contains Shellfish, Contains Eggs, Sustainability, Contains Soy, Contains Fish, Contains Shellfish, Contains Eggs, Sustainability, ",$9.00
Crunchy Roll ,559,164,18.2,48,80,,5.5,27,3.1,10,0.1,,13.9,11,61.2,,13.1,,1174.7,51,"Contains Dairy, Contains Soy, Contains Wheat, Contains Shellfish, Contains Eggs, Contains Gluten, Sustainability, Contains Dairy, Contains Soy, Contains Wheat, Contains Shellfish, Contains Eggs, Sustainability, ",$9.00
Horizon Roll ,384,82,9.1,24,65.4,,1.1,6,5.4,18,0,,6.4,5,0,,10.3,,205.7,9,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Contains Sesame, Sustainability, Vegan, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, ",$12.00
Rainbow Roll ,403,66,7.3,19,60.5,,1.3,7,2.2,7,0,,8.7,7,38.3,,23.2,,619.2,27,"Contains Soy, Contains Fish, Contains Shellfish, Contains Eggs, Sustainability, Contains Soy, Contains Fish, Contains Shellfish, Contains Eggs, Sustainability, ",$13.00
Spicy Tuna Roll ,391,88,9.8,26,52.6,,1.6,8,2.6,9,0,,3.7,3,20.3,,18.8,,765.5,33,"Contains Soy, Contains Wheat, Contains Fish, Contains Eggs, Contains Gluten, Contains Sesame, Sustainability, Contains Soy, Contains Wheat, Contains Fish, Contains Eggs, Contains Gluten, Sustainability, ",$9.00
Sun God Roll ,739,327,36.3,96,66,,5.9,30,2.6,9,0.1,,8.7,7,98.2,,33,,1082.5,47,"Contains Soy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Eggs, Contains Gluten, Contains Sesame, Sustainability, Contains Soy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Eggs, Contains Gluten, Sustainability, ",$14.00
Tempura Roll ,688,286,31.7,84,78.4,,8.4,42,2,7,0,,13.8,11,53.5,,15.4,,1131.6,49,"Contains Dairy, Contains Soy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Eggs, Contains Gluten, Contains Sesame, Sustainability, Contains Dairy, Contains Soy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Eggs, Contains Gluten, Sustainability, ",$12.00
Green Tea Ice Cream ,470,223,24.7,65,54.2,,15.2,76,2.3,8,0,,48.2,37,98.6,,8,,179.4,8,"Vegetarian, Contains Dairy, Contains Eggs, Vegetarian, Contains Dairy, Contains Eggs, ",$3.50
AGUA FRESCA BERRY PATCH ,171,0,0,0,40.8,,0,0,0,0,0,,40.8,31,0,,0,,541.7,24,"Vegan, Vegan, ",$3.00
AGUA FRESCA LEMONADE ,158,0,0,0,36.8,,0,0,0,0,0,,36.8,28,0,,0,,541.7,24,"Vegan, Vegan, ",$2.50
AGUA FRESCA SWEET TEA ,158,0,0,0,40.8,,0,0,0,0,0,,39.5,30,0,,0,,541.7,24,"Vegan, Vegan, ",$3.00
Thai Iced Tea ,406,139,15.5,41,52.1,,8.8,44,0,0,0,,52.1,40,47.3,,14.9,,205.7,9,"Vegetarian, Contains Dairy, Vegetarian, Contains Dairy, ",$3.00
Fried Brown Rice ,38,11,1.2,3,6.1,,0.1,1,0.5,2,0,,0.2,0,0,,0.7,,40.6,2,"Vegan, Wellness, Contains Sesame, Sustainability, Vegan, Wellness, Contains Gluten, Sustainability, ",$3.00
Seaweed Salad ,16,5,0.5,1,6.7,,0,0,0,0,0,,0,0,0,,2.6,,941.9,41,"Vegan, Contains Soy, Sustainability, Vegan, Contains Soy, Sustainability, ",$4.00
Spicy Cucumber Salad ,89,37,4.1,11,12.5,,0.6,3,1.2,4,0,,10.8,8,0,,1.2,,589.7,26,"Vegan, Contains Sesame, Sustainability, Vegan, Contains Gluten, Sustainability, ",$4.00
Sushi Rice ,149,3,0.3,1,31.9,,0.1,0,0.5,2,0,,0.1,0,0,,3.1,,1.3,0,"Vegan, Sustainability, Vegan, Sustainability, ",$2.50
